particulars,amt_actual,amt_adj,amt_prop,level,bold,year,sort_ord,ord_tag,sect_cd,ssect_cd,agy_type,owner_cd,dept,agy,owner_dsc,amt_actual_orig,amt_adj_orig,amt_prop_orig
ECONOMIC SERVICES,380727992,361669886,438410610,1,1,2012,,0,1,,,,,,,380727992,361669886,438410610
,,,,0,0,2012,,0,,,,,,,,,,
Agriculture and Agrarian Reform,86238603,65970478,99623782,2,1,2012,,0,1,02,,,,,,86238603,65970478,99623782
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,45418383,48271613,70196672,3,1,2012,,0,1,02,DEPT,,,,,45418383,48271613,70196672
      Department of Agriculture,34724071,35198376,54066820,4,0,2012,,0,1,02,DEPT,,Department of Agriculture,Department of Agriculture,,34724071,35198376,54066820
             Office of the Secretary,29903890,30581608,50220417,0,0,2012,1,0,1,02,DEPT,OSEC-DA,Department of Agriculture,Office of the Secretary,,29903890,30581608,50220417
             Agricultural Credit Policy Council,25980,25710,27532,0,0,2012,2,0,1,02,DEPT,ACPC,Department of Agriculture,Agricultural Credit Policy Council,,25980,25710,27532
             Bureau of Fisheries and Aquatic Resources,2469462,2366619,2520194,0,0,2012,3,0,1,02,DEPT,BFAR,Department of Agriculture,Bureau of Fisheries and Aquatic Resources,,2469462,2366619,2520194
             Philippine Center for Postharvest Development
                and Mechanization,150426,101477,140040,0,0,2012,4,0,1,02,DEPT,BUPHIRE,Department of Agriculture,Philippine Center for Postharvest Development and Mechanization,,150426,101477,140040
             Cotton Development Administration,53580,57663,53830,0,0,2012,5,0,1,02,DEPT,CODA,Department of Agriculture,Cotton Development Administration,,53580,57663,53830
             Fertilizer and Pesticide Authority,53373,49518,53019,0,0,2012,6,0,1,02,DEPT,FPA,Department of Agriculture,Fertilizer and Pesticide Authority,,53373,49518,53019
             Fiber Industry Development Authority,232314,214906,219619,0,0,2012,7,0,1,02,DEPT,FIDA,Department of Agriculture,Fiber Industry Development Authority,,232314,214906,219619
             Livestock Development Council,17452,17677,18662,0,0,2012,8,0,1,02,DEPT,LDC,Department of Agriculture,Livestock Development Council,,17452,17677,18662
             National Agricultural and Fishery Council,890623,935813,85941,0,0,2012,9,0,1,02,DEPT,NAFC,Department of Agriculture,National Agricultural and Fishery Council,,890623,935813,85941
             National Meat Inspection Service ,219756,242062,228095,0,0,2012,10,0,1,02,DEPT,NMIC,Department of Agriculture,National Meat Inspection Service ,,219756,242062,228095
             Philippine Carabao Center,707215,605323,499471,0,0,2012,11,0,1,02,DEPT,PCARC,Department of Agriculture,Philippine Carabao Center,,707215,605323,499471
      Department of Agrarian Reform,10273404,12739306,15783501,0,0,2012,12,0,1,02,DEPT,OSEC-DAR,Department of Agrarian Reform,,,10273404,12739306,15783501
      Department of Science and Technology,420908,333931,346351,4,0,2012,,0,1,02,DEPT,,Department of Science and Technology,Department of Science and Technology,,420908,333931,346351
"             Philippine Council for Agriculture, Forestry and
                Natural Resources Research and Development",318593,296216,296493,0,0,2012,13,0,1,02,DEPT,PCAFNRD,Department of Science and Technology,"Philippine Council for Agriculture, Forestry and Natural Resources Research and Development",,318593,296216,296493
             Philippine Council for Aquatic and Marine Research
                and Development,102315,37715,49858,0,0,2012,14,0,1,02,DEPT,PCAMRD,Department of Science and Technology,Philippine Council for Aquatic and Marine Research and Development,,102315,37715,49858
   Budgetary Support to Government Corporations,40820220,3442759,7726699,3,1,2012,,0,1,02,BSGC,,,,,40820220,3442759,7726699
      National Agribusiness Corporation,20000,0,0,0,0,2012,15,0,1,02,BSGC,NABCOR,National Agribusiness Corporation,,,20000,0,0
      National Dairy Authority,52200,51619,170472,0,0,2012,16,0,1,02,BSGC,NDA,National Dairy Authority,,,52200,51619,170472
      National Food Authority,38394086,2500000,4000000,0,0,2012,17,0,1,02,BSGC,NFA,National Food Authority,,,38394086,2500000,4000000
      National Irrigation Administration,0,0,2060598,0,0,2012,18,0,1,02,BSGC,NIA,National Irrigation Administration,,,0,0,2060598
      National Tobacco Administration,478990,77454,219200,0,0,2012,19,0,1,02,BSGC,NTA,National Tobacco Administration,,,478990,77454,219200
      Philippine Coconut Authority,593086,549915,692757,0,0,2012,20,0,1,02,BSGC,PCOA,Philippine Coconut Authority,,,593086,549915,692757
      Philippine Crop Insurance Corporation,144271,113771,183771,0,0,2012,21,0,1,02,BSGC,PCIC-DA,Philippine Crop Insurance Corporation,,,144271,113771,183771
      Philippine Rice Research Institute,418000,91000,340901,0,0,2012,22,0,1,02,BSGC,PRRI,Philippine Rice Research Institute,,,418000,91000,340901
      Southern Philippines Development Authority,30000,59000,59000,0,0,2012,23,0,1,02,BSGC,SPDA,Southern Philippines Development Authority,,,30000,59000,59000
      Bases Conversion Development Authority,689587,0,0,0,0,2012,24,0,1,02,BSGC,BCDA,Bases Conversion Development Authority,,,689587,0,0
   Other Special Purpose Funds,0,14256106,21700411,3,1,2012,,0,1,02,OSPF,,,,,0,14256106,21700411
      Calamity Fund,0,755000,1132500,0,0,2012,25,0,1,02,OSPF,CF,Calamity Fund,,,0,755000,1132500
      Miscellaneous Personnel Benefits Fund,0,1554466,2232781,0,0,2012,26,0,1,02,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,1554466,2232781
      Priority Development Assistance Fund,0,6696640,6770080,0,0,2012,27,0,1,02,OSPF,PDAF,Priority Development Assistance Fund,,,0,6696640,6770080
      Payapa at Masaganang Pamayanan Fund,0,0,0,0,0,2012,28,0,1,02,OSPF,PAMANA,Payapa at Masaganang Pamayanan Fund,,,0,0,0
      Tax Expenditures Fund,0,5250000,11565050,0,0,2012,29,0,1,02,OSPF,TEF,Tax Expenditures Fund,,,0,5250000,11565050
Natural Resources and Environment,14341573,13088273,19660012,2,1,2012,,0,1,04,,,,,,14341573,13088273,19660012
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,14245716,11791817,17808301,3,1,2012,,0,1,04,DEPT,,,,,14245716,11791817,17808301
      Department of Environment and Natural Resources,11681952,11499072,17369713,4,0,2012,,0,1,04,DEPT,,Department of Environment and Natural Resources,Department of Environment and Natural Resources,,11681952,11499072,17369713
             Office of the Secretary,9588338,9347590,14868267,0,0,2012,30,0,1,04,DEPT,OSEC-DENR,Department of Environment and Natural Resources,Office of the Secretary,,9588338,9347590,14868267
             Environmental Management Bureau,620647,752279,832679,0,0,2012,31,0,1,04,DEPT,EMB,Department of Environment and Natural Resources,Environmental Management Bureau,,620647,752279,832679
             Mines and Geo-Sciences Bureau,655910,717439,742494,0,0,2012,32,0,1,04,DEPT,MGB,Department of Environment and Natural Resources,Mines and Geo-Sciences Bureau,,655910,717439,742494
             National Mapping and Resource Information Authority,817057,681764,926273,0,0,2012,33,0,1,04,DEPT,NAMRIA,Department of Environment and Natural Resources,National Mapping and Resource Information Authority,,817057,681764,926273
      Other Executive Offices,2446562,196617,356858,4,0,2012,,0,1,04,DEPT,,Other Executive Offices,Other Executive Offices,,2446562,196617,356858
             Pasig River Rehabilitation Commission,2441109,157737,293578,0,0,2012,34,0,1,04,DEPT,PRRC,Other Executive Offices,Pasig River Rehabilitation Commission,,2441109,157737,293578
             Climate Change Commission,5453,38880,63280,0,0,2012,35,0,1,04,DEPT,NCCC,Other Executive Offices,Climate Change Commission,,5453,38880,63280
      Department of Science and Technology,117202,96128,81730,4,0,2012,,0,1,04,DEPT,,Department of Science and Technology,Department of Science and Technology,,117202,96128,81730
             Forest Products Research and Development Institute,117202,96128,81730,0,0,2012,36,0,1,04,DEPT,FPRDI,Department of Science and Technology,Forest Products Research and Development Institute,,117202,96128,81730
   Budgetary Support to Government Corporations,95857,0,0,3,1,2012,,0,1,04,BSGC,,,,,95857,0,0
      Laguna Lake Development Authority,857,0,0,0,0,2012,37,0,1,04,BSGC,LLDA,Laguna Lake Development Authority,,,857,0,0
      Natural Resources Development Corporation,95000,0,0,0,0,2012,38,0,1,04,BSGC,NRDC,Natural Resources Development Corporation,,,95000,0,0
   Other Special Purpose Funds,0,1296456,1851711,3,1,2012,,0,1,04,OSPF,,,,,0,1296456,1851711
      Miscellaneous Personnel Benefits Fund,0,1271836,1826821,0,0,2012,39,0,1,04,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,1271836,1826821
      Priority Development Assistance Fund,0,24620,24890,0,0,2012,40,0,1,04,OSPF,PDAF,Priority Development Assistance Fund,,,0,24620,24890
Trade and Industry,5303218,4259887,6043034,2,1,2012,,0,1,05,,,,,,5303218,4259887,6043034
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,3819955,3138998,4009941,3,1,2012,,0,1,05,DEPT,,,,,3819955,3138998,4009941
      Department of Science and Technology,783685,575657,1225280,4,0,2012,,0,1,05,DEPT,,Department of Science and Technology,Department of Science and Technology,,783685,575657,1225280
             Industrial Technology Development Institute,211959,172753,245638,0,0,2012,41,0,1,05,DEPT,ITDI,Department of Science and Technology,Industrial Technology Development Institute,,211959,172753,245638
             Metals Industry Research and Development Center,140034,128078,244504,0,0,2012,42,0,1,05,DEPT,MIRDC,Department of Science and Technology,Metals Industry Research and Development Center,,140034,128078,244504
"             Philippine Council for Industry, Energy and Emerging
                Technology Research and Development",273002,141500,595852,0,0,2012,43,0,1,05,DEPT,PCIEERD,Department of Science and Technology,"Philippine Council for Industry, Energy and Emerging Technology Research and Development",,273002,141500,595852
             Philippine Textile Research Institute,77377,60345,53627,0,0,2012,44,0,1,05,DEPT,PTRI,Department of Science and Technology,Philippine Textile Research Institute,,77377,60345,53627
             Technology Application and Promotion Institute,81313,72981,85659,0,0,2012,45,0,1,05,DEPT,TAPI,Department of Science and Technology,Technology Application and Promotion Institute,,81313,72981,85659
      Department of Trade and Industry,3036270,2563341,2784661,4,0,2012,,0,1,05,DEPT,,Department of Trade and Industry,Department of Trade and Industry,,3036270,2563341,2784661
             Office of the Secretary,2644813,2179700,2351799,0,0,2012,46,0,1,05,DEPT,OSEC-DTI,Department of Trade and Industry,Office of the Secretary,,2644813,2179700,2351799
             Board of Investments,235980,233562,231049,0,0,2012,47,0,1,05,DEPT,BOI,Department of Trade and Industry,Board of Investments,,235980,233562,231049
             Construction Industry Authority of the Philippines,44843,42968,50360,0,0,2012,48,0,1,05,DEPT,CIAP,Department of Trade and Industry,Construction Industry Authority of the Philippines,,44843,42968,50360
             Construction Manpower Development Foundation,22833,21372,22390,0,0,2012,49,0,1,05,DEPT,CMDF,Department of Trade and Industry,Construction Manpower Development Foundation,,22833,21372,22390
             Philippine Trade Training Center,38897,35157,75252,0,0,2012,50,0,1,05,DEPT,PTTC,Department of Trade and Industry,Philippine Trade Training Center,,38897,35157,75252
             Product Development and Design Center of the Philippines,48904,50582,53811,0,0,2012,51,0,1,05,DEPT,PDDCP,Department of Trade and Industry,Product Development and Design Center of the Philippines,,48904,50582,53811
   Budgetary Support to Government Corporations,1483263,687336,1504613,3,1,2012,,0,1,05,BSGC,,,,,1483263,687336,1504613
      Cagayan Economic Zone Authority,1114450,294550,915503,0,0,2012,52,0,1,05,BSGC,CEZA,Cagayan Economic Zone Authority,,,1114450,294550,915503
      Center for International Trade Expositions and Missions,73746,79686,88510,0,0,2012,53,0,1,05,BSGC,CITEM,Center for International Trade Expositions and Missions,,,73746,79686,88510
"      Food Terminal, Incorporated",40898,0,0,0,0,2012,54,0,1,05,BSGC,FTI,"Food Terminal, Incorporated",,,40898,0,0
      Cottage Industry Technology Center,10000,8000,8000,0,0,2012,55,0,1,05,BSGC,CITC,Cottage Industry Technology Center,,,10000,8000,8000
      Aurora Pacific Economic Zone and Freeport Authority (formerly ASEZA),122500,145000,332500,0,0,2012,56,0,1,05,BSGC,ASEZA,Aurora Pacific Economic Zone and Freeport Authority (formerly ASEZA),,,122500,145000,332500
      Zamboanga City Special Economic Zone Authority,30000,60100,60100,0,0,2012,57,0,1,05,BSGC,ZCSEZA,Zamboanga City Special Economic Zone Authority,,,30000,60100,60100
      Small Business Corporation,91669,0,0,0,0,2012,58,0,1,05,BSGC,SBGFC,Small Business Corporation,,,91669,0,0
      Authority of the Freeport Area of Bataan,0,100000,100000,0,0,2012,60,0,1,05,BSGC,AFAB,Authority of the Freeport Area of Bataan,,,0,100000,100000
   Other Special Purpose Funds,0,433553,528480,3,1,2012,,0,1,05,OSPF,,,,,0,433553,528480
      Miscellaneous Personnel Benefits Fund,0,211973,304470,0,0,2012,61,0,1,05,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,211973,304470
      Priority Development Assistance Fund,0,221580,224010,0,0,2012,62,0,1,05,OSPF,PDAF,Priority Development Assistance Fund,,,0,221580,224010
Tourism,1692223,1832673,2252688,2,1,2012,,0,1,06,,,,,,1692223,1832673,2252688
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,1502223,1452015,1654198,3,1,2012,,0,1,06,DEPT,,,,,1502223,1452015,1654198
      Department of Tourism,1502223,1452015,1654198,4,0,2012,,0,1,06,DEPT,,Department of Tourism,Department of Tourism,,1502223,1452015,1654198
             Office of the Secretary,1316672,1303978,1382413,0,0,2012,63,0,1,06,DEPT,OSEC-DOT,Department of Tourism,Office of the Secretary,,1316672,1303978,1382413
             Intramuros Administration,43715,32766,35052,0,0,2012,64,0,1,06,DEPT,IA,Department of Tourism,Intramuros Administration,,43715,32766,35052
             National Parks Development Committee,141836,115271,236733,0,0,2012,65,0,1,06,DEPT,NPDC,Department of Tourism,National Parks Development Committee,,141836,115271,236733
   Budgetary Support to Government Corporations,190000,310000,497000,3,1,2012,,0,1,06,BSGC,,,,,190000,310000,497000
      Cultural Center of the Philippines,105000,200000,202000,0,0,2012,66,0,1,06,BSGC,CCP,Cultural Center of the Philippines,,,105000,200000,202000
      Development Academy of the Philippines,20000,45000,45000,0,0,2012,67,0,1,06,BSGC,DAP,Development Academy of the Philippines,,,20000,45000,45000
      Philippine Convention and Visitors Corporation,27085,0,0,0,0,2012,68,0,1,06,BSGC,PCVC,Philippine Convention and Visitors Corporation,,,27085,0,0
      Tourism Promotions Board,37915,65000,250000,0,0,2012,69,0,1,06,BSGC,TPB,Tourism Promotions Board,,,37915,65000,250000
   Other Special Purpose Funds,0,70658,101490,3,1,2012,,0,1,06,OSPF,,,,,0,70658,101490
      Miscellaneous Personnel Benefits Fund,0,70658,101490,0,0,2012,70,0,1,06,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,70658,101490
Power and Energy,2420250,1784114,11838895,2,1,2012,,0,1,07,,,,,,2420250,1784114,11838895
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,1374088,1713456,9168905,3,1,2012,,0,1,07,DEPT,,,,,1374088,1713456,9168905
      Department of Energy,987830,1366640,8814727,0,0,2012,71,0,1,07,DEPT,OSEC-DOE,Department of Energy,,,987830,1366640,8814727
      Department of Science and Technology,154006,140646,140461,4,0,2012,,0,1,07,DEPT,,Department of Science and Technology,Department of Science and Technology,,154006,140646,140461
             Philippine Nuclear Research Institute,154006,140646,140461,0,0,2012,72,0,1,07,DEPT,PNRI,Department of Science and Technology,Philippine Nuclear Research Institute,,154006,140646,140461
      Other Executive Offices,232252,206170,213717,4,0,2012,,0,1,07,DEPT,,Other Executive Offices,Other Executive Offices,,232252,206170,213717
             Energy Regulatory Commission,232252,206170,213717,0,0,2012,73,0,1,07,DEPT,ERC,Other Executive Offices,Energy Regulatory Commission,,232252,206170,213717
   Budgetary Support to Government Corporations,1046162,0,2568500,3,1,2012,,0,1,07,BSGC,,,,,1046162,0,2568500
      National Transmission Corporation,1024563,0,0,0,0,2012,74,0,1,07,BSGC,TRANSCO,National Transmission Corporation,,,1024563,0,0
      National Electrification Administration,21599,0,2568500,0,0,2012,75,0,1,07,BSGC,NEA,National Electrification Administration,,,21599,0,2568500
   Other Special Purpose Funds,0,70658,101490,3,1,2012,,0,1,07,OSPF,,,,,0,70658,101490
      Miscellaneous Personnel Benefits Fund,0,70658,101490,0,0,2012,76,0,1,07,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,70658,101490
Water Resources Development and Flood Control,18462835,14576985,16704626,2,1,2012,,0,1,08,,,,,,18462835,14576985,16704626
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,18460133,14426985,16374196,3,1,2012,,0,1,08,DEPT,,,,,18460133,14426985,16374196
      Department of Public Works and Highways,18415872,14381883,16320441,4,0,2012,,0,1,08,DEPT,,Department of Public Works and Highways,Department of Public Works and Highways,,18415872,14381883,16320441
             Office of the Secretary,18415872,14381883,16320441,0,0,2012,77,0,1,08,DEPT,OSEC-DPWH,Department of Public Works and Highways,Office of the Secretary,,18415872,14381883,16320441
      Department of Environment and Natural Resources,44261,45102,53755,4,0,2012,,0,1,08,DEPT,,Department of Environment and Natural Resources,Department of Environment and Natural Resources,,44261,45102,53755
             National Water Resources Board,44261,45102,53755,0,0,2012,78,0,1,08,DEPT,NWRB-DENR,Department of Environment and Natural Resources,National Water Resources Board,,44261,45102,53755
   Budgetary Support to Government Corporations,2702,0,0,3,1,2012,,0,1,08,BSGC,,,,,2702,0,0
      Local Water Utilities Administration,2702,0,0,0,0,2012,79,0,1,08,BSGC,LWUA,Local Water Utilities Administration,,,2702,0,0
   Other Special Purpose Funds,0,150000,330430,3,1,2012,,0,1,08,OSPF,,,,,0,150000,330430
      Tax Expenditures Fund,0,150000,330430,0,0,2012,80,0,1,08,OSPF,TEF,Tax Expenditures Fund,,,0,150000,330430
      General Fund Adjustments,0,0,0,0,0,2012,81,0,1,08,OSPF,GFA,General Fund Adjustments,,,0,0,0
"Communications, Roads and Other Transport",146185409,145301166,167487894,2,1,2012,,0,1,09,,,,,,146185409,145301166,167487894
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,145156417,129691818,144928433,3,1,2012,,0,1,09,DEPT,,,,,145156417,129691818,144928433
      Department of Public Works and Highways,122819697,95916096,108844789,4,0,2012,,0,1,09,DEPT,,Department of Public Works and Highways,Department of Public Works and Highways,,122819697,95916096,108844789
             Office of the Secretary,122819697,95916096,108844789,0,0,2012,82,0,1,09,DEPT,OSEC-DPWH,Department of Public Works and Highways,Office of the Secretary,,122819697,95916096,108844789
      Department of Transportation and Communications,20151385,32346069,34574484,4,0,2012,,0,1,09,DEPT,,Department of Transportation and Communications,Department of Transportation and Communications,,20151385,32346069,34574484
             Office of the Secretary,19384898,31630623,33728059,0,0,2012,83,0,1,09,DEPT,OSEC-DOTC,Department of Transportation and Communications,Office of the Secretary,,19384898,31630623,33728059
             Civil Aeronautics Board,46789,40556,49971,0,0,2012,84,0,1,09,DEPT,CAB,Department of Transportation and Communications,Civil Aeronautics Board,,46789,40556,49971
             Maritime Industry Authority,355377,339722,383743,0,0,2012,85,0,1,09,DEPT,MARINA,Department of Transportation and Communications,Maritime Industry Authority,,355377,339722,383743
             Office of Transportation Cooperatives,14448,14679,15707,0,0,2012,86,0,1,09,DEPT,OTC,Department of Transportation and Communications,Office of Transportation Cooperatives,,14448,14679,15707
             Office for Transportation Security,336147,307191,383462,0,0,2012,87,0,1,09,DEPT,OTS,Department of Transportation and Communications,Office for Transportation Security,,336147,307191,383462
             Toll Regulatory Board,13726,13298,13542,0,0,2012,88,0,1,09,DEPT,TRB-DOTC,Department of Transportation and Communications,Toll Regulatory Board,,13726,13298,13542
      Department of Science and Technology,1900955,1226368,1288163,4,0,2012,,0,1,09,DEPT,,Department of Science and Technology,Department of Science and Technology,,1900955,1226368,1288163
             Information and Communications Technology Office,1900955,1226368,1288163,0,0,2012,89,0,1,09,DEPT,ICTO,Department of Science and Technology,Information and Communications Technology Office,,1900955,1226368,1288163
      Other Executive Offices,284380,203285,220997,4,0,2012,,0,1,09,DEPT,,Other Executive Offices,Other Executive Offices,,284380,203285,220997
             National Telecommunications Commission,284380,203285,220997,0,0,2012,90,0,1,09,DEPT,NTC-OEO,Other Executive Offices,National Telecommunications Commission,,284380,203285,220997
   Budgetary Support to Government Corporations,1028992,131000,301000,3,1,2012,,0,1,09,BSGC,,,,,1028992,131000,301000
      Philippine National Railways,348656,131000,0,0,0,2012,91,0,1,09,BSGC,PNR,Philippine National Railways,,,348656,131000,0
      North Luzon Railways Corporation,399060,0,0,0,0,2012,92,0,1,09,BSGC,NLRC-BSGC,North Luzon Railways Corporation,,,399060,0,0
      Philippine Postal Corporation,281276,0,301000,0,0,2012,93,0,1,09,BSGC,PPC,Philippine Postal Corporation,,,281276,0,301000
   Other Special Purpose Funds,0,15478348,22258461,3,1,2012,,0,1,09,OSPF,,,,,0,15478348,22258461
      Calamity Fund,0,1990000,2985000,0,0,2012,94,0,1,09,OSPF,CF,Calamity Fund,,,0,1990000,2985000
      Miscellaneous Personnel Benefits Fund,0,1483808,2131291,0,0,2012,95,0,1,09,OSPF,MPBF,Miscellaneous Personnel Benefits Fund,,,0,1483808,2131291
      Priority Development Assistance Fund,0,7804540,7890130,0,0,2012,96,0,1,09,OSPF,PDAF,Priority Development Assistance Fund,,,0,7804540,7890130
      Tax Expenditures Fund,0,4200000,9252040,0,0,2012,97,0,1,09,OSPF,TEF,Tax Expenditures Fund,,,0,4200000,9252040
Other Economic Services,13053050,14425829,19141321,2,1,2012,,0,1,10,,,,,,13053050,14425829,19141321
,,,,0,0,2012,,0,,,,,,,,,,
   Department/Agencies,1560682,2470439,2265798,3,1,2012,,0,1,10,DEPT,,,,,1560682,2470439,2265798
      Department of Science and Technology,1503922,2418418,2209746,4,0,2012,,0,1,10,DEPT,,Department of Science and Technology,Department of Science and Technology,,1503922,2418418,2209746
             Office of the Secretary,1344317,2281426,2048514,0,0,2012,98,0,1,10,DEPT,OSEC-DOST,Department of Science and Technology,Office of the Secretary,,1344317,2281426,2048514
             Advanced Science and Technology Institute,70824,55451,80917,0,0,2012,99,0,1,10,DEPT,ASTI,Department of Science and Technology,Advanced Science and Technology Institute,,70824,55451,80917
             National Academy of Science and Technology,43160,37842,42787,0,0,2012,100,0,1,10,DEPT,NAST,Department of Science and Technology,National Academy of Science and Technology,,43160,37842,42787
             Science and Technology Information Institute,45621,43699,37528,0,0,2012,101,0,1,10,DEPT,STII,Department of Science and Technology,Science and Technology Information Institute,,45621,43699,37528
      Department of Environment and Natural Resources,56760,52021,56052,4,0,2012,,0,1,10,DEPT,,Department of Environment and Natural Resources,Department of Environment and Natural Resources,,56760,52021,56052
             Palawan Council for Sustainable Development Staff,56760,52021,56052,0,0,2012,102,0,1,10,DEPT,PCSDS,Department of Environment and Natural Resources,Palawan Council for Sustainable Development Staff,,56760,52021,56052
   Budgetary Support to Government Corporations,47250,13606,94138,3,1,2012,,0,1,10,BSGC,,,,,47250,13606,94138
